;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
1;Anéis;Prata Artesanal;12; R$ 96,00 ; R$ 288,00 ;Lapis Azul;30; R$ 252,00 ; R$ 756,00 ; R$ 150,00 ; R$ 498,00 ;; R$ 1.194,00 ; R$ 1.194,00 ;;;;;;;;;;;;Colar;;;;;;;;;;;
2;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Sodalita;10; R$ 16,80 ; R$ 50,40 ; R$ 150,00 ; R$ 198,80 ;-10,00%; R$ 296,40 ; R$ 326,04 ;;;;;;;;;;;;Pulseira;;;;;;;;;;;
3;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Lapis Azul;12; R$ 100,80 ; R$ 302,40 ; R$ 100,00 ; R$ 232,80 ;; R$ 498,40 ; R$ 498,40 ;;;;;;;;;;;;Pedra;;;;;;;;;;;
4;Pingente;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Sodalita;20; R$ 33,60 ; R$ 100,80 ; R$ 60,00 ; R$ 109,60 ;-35,00%; R$ 208,80 ; R$ 281,88 ;;;;;;;;;;;;;;;;;;;;;;;
5;Pingente;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Jade;6; R$ 33,60 ; R$ 100,80 ; R$ 50,00 ; R$ 99,60 ;-25,00%; R$ 198,80 ; R$ 248,50 ;;;;;;;;;;;;;;;;;;;;;;;
6;Pingente;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Sodalita;15; R$ 25,20 ; R$ 75,60 ; R$ 40,00 ; R$ 81,20 ;-65,00%; R$ 163,60 ; R$ 269,94 ;;;;;;;;;;;;;;;;;;;;;;;
